,f
0,0.008046774935909601
1,-4.339667181469594e-06
2,0.0023924917540350354
3,0.0014689598025418675
4,0.0009101626057904224
5,9.822992216370413e-05
6,0.0007950706264857039
7,0.00019300051726636746
8,0.0004304771379584697
9,0.01361338168649125
10,0.006235760606088994
11,-1.4714101004488016e-05
12,0.012631275604422154
13,0.006961462740124217
14,-6.352310456106388e-06
15,0.0033258717931009965
16,0.0002862614564346869
17,0.006507616091343105
18,8.562177157281344e-05
19,0.009753854922722018
20,5.588584781228483e-05
21,0.00725709235315645
22,-1.150921936478288e-05
23,0.00909601503113344
24,0.00012101433888920694
25,0.0005928589492378184
26,0.002909829272489414
27,-1.5179028193084064e-05
28,0.008973439506129038
29,0.0021324527319982163
30,0.006305991607696493
31,0.002995647984201039
32,0.007306937007496235
33,0.00014427873845875586
34,-9.937656659424546e-07
35,0.006867324939006426
36,-1.5796057173740086e-05
37,-1.0408668861812014e-05
38,0.005735829529329899
39,0.01051005588050903
40,0.005062976178663666
41,0.0008990709886292728
42,0.01183139011928016
43,0.005863522277379048
44,-1.4983465243829031e-05
45,1.540343865558246e-05
46,0.0006795471614068072
47,0.006588874643886719
48,0.0074150122879384096
49,2.1578164928315077e-05
50,6.315210535910857e-05
51,0.00715282510920658
52,2.3219712805363212e-05
53,0.005261793066337292
54,0.0005932560799973094
55,0.0015576203728004056
56,0.00011492147544124599
57,6.869068541423472e-05
58,-1.2806670172995126e-05
59,0.00037543079277103
60,-1.0735200394964626e-05
61,0.00048754824416089276
62,7.383576165249068e-05
63,-1.3296114417779331e-05
64,0.00045509548756335387
65,0.0025349136692846466
66,0.007628527968449399
67,0.011468120610231562
68,0.0012911748767709056
69,1.2932011443984768e-05
70,0.002373796428496035
71,0.007412612856217681
72,0.004641263469308789
73,-1.0548728961054904e-05
74,0.00034354300042752957
75,0.006367378290954708
76,0.005036073988985381
77,0.0023165156440061127
78,0.0005193033923634912
79,0.0005451162488502083
80,0.007294615924177681
81,8.94579758096579e-05
82,0.010607681974158956
