,X1,X2,Label,f
0,0.27532659211716465,0.2682027307037793,0,5.500184216248635e-06
1,0.31947316360234096,0.31537064679277643,0,1.2052762983226754e-06
2,0.2619215002549979,0.5624589142256842,0,-1.6436047366006025e-06
3,0.07769887428216324,0.24420657497570636,0,-6.25729942666177e-06
4,0.20561350346067844,0.3374809274950428,0,-8.71786087262582e-06
5,0.31341727669048064,0.43454653792507547,0,-9.610047160036367e-06
6,0.07245515251255065,0.3800780013103026,0,-1.536326546457679e-06
7,0.31698942917191875,0.41937946811666327,0,-1.135966415011014e-05
8,0.252256218935481,0.35360483808932797,0,-1.1477948035006839e-05
9,0.15046350552300422,0.3000967714299326,0,-7.3654371914858096e-06
10,0.17009918281969771,0.1765993532328221,0,-6.1437193119659636e-06
11,0.1514345561133826,0.3150447777968714,0,-6.429409085743223e-06
12,0.3158508235386742,0.4636959075424003,0,-7.464439118415984e-06
13,0.16217000782689958,0.22576296078627273,0,-1.5025604722629533e-05
14,0.02464962512943157,0.3240534827412885,0,-1.6688552683820444e-06
15,0.14768914231850042,0.029934273940886436,2,0.0030482859760011713
16,0.3310427888858667,0.4748524683333531,0,-7.756533505509644e-06
17,0.2002970010433883,0.29336783256066956,0,-1.230747004900929e-05
18,0.18434762427254145,0.0021691004958055648,17,0.019276885201109584
19,0.05395844800138899,0.08920607092600194,0,-1.5306907712284893e-05
20,0.0384875238983838,0.2512404540285043,0,-3.9626567564731116e-06
21,0.2170054041965737,0.2682099576460019,0,-1.5719327948646836e-05
22,0.030823301691781362,0.06417147641263221,0,-1.5106387004793218e-05
23,0.22761248102733891,0.36970439515454595,0,-7.906822932660604e-06
24,0.31949007357089193,0.5415663354630638,0,-3.5916374288868086e-06
25,0.08522783278345702,0.34411547047558166,0,-2.4998475385446033e-06
26,0.10120526521178179,0.3360401336729413,0,-3.1773998242345304e-06
27,0.3046120822672703,0.589250567437541,0,-1.9246856381920535e-06
28,0.3053146664924639,0.4998788373058378,0,-4.7224868693275584e-06
29,0.0903888431799581,0.08557076655829061,0,5.061081266578274e-06
30,0.1430194083812269,0.35875693265499253,0,-3.840718177104427e-06
31,0.05983755305057444,0.543881455867191,0,-2.6328458404349897e-07
32,0.22232180007224575,0.4238100278743205,0,-4.418136740152753e-06
33,0.23613969970426246,0.16600150134134908,0,0.00040915132117128993
34,0.3291135015424238,0.11959485981803102,7,0.008007953223116615
35,0.33261482747303084,0.5212149443607804,0,-5.0058689073813586e-06
36,0.11969567557656098,0.09482894265080374,0,4.558809861595641e-05
37,0.23736858531279897,0.12923595996911644,1,0.0017491680734592978
38,0.07030497182815125,0.535714870114059,0,-3.1717182109368726e-07
39,0.06901645980450759,0.3535117573079632,0,-1.935974335567129e-06
40,0.3488275202915818,0.5030427368006357,0,-7.011446273228237e-06
41,0.2034623838411932,0.07723687015482018,3,0.0035632004887145635
42,0.09234328024201077,0.23767491621499903,0,-7.6847471241564e-06
43,0.1039873533652898,0.5691886404227712,0,-3.176956014576709e-07
44,0.034771529169528775,0.15406288570498006,0,-9.825538379334739e-06
45,0.01569994902768655,0.22485505719257173,0,-4.108098338974691e-06
46,0.2717196523820688,0.07640275167068855,10,0.011817946208554416
47,0.12629776563645645,0.5988665475484659,0,-2.9504059718626315e-07
48,0.2779261568476804,0.043966159458833594,16,0.017654232410315076
49,0.10678116967625445,0.20122513218572302,0,-1.2187399014299641e-05
50,0.17857667361075538,0.34303266623697226,0,-6.373061597521871e-06
51,0.2589108709353761,0.22826680788075643,0,5.853295661668048e-05
52,0.01341942916901158,0.42280879499772495,0,-5.557334777433879e-07
53,0.07083330550059877,0.1677092122982399,0,-1.1951719916748961e-05
54,0.1281978685010593,0.07708106538774999,0,0.00019345513783182623
55,0.14365718745979486,0.2751754862288163,0,-8.757269765982953e-06
56,0.12341231682312497,0.10867243505585504,0,2.038134347504815e-05
57,0.17688826000403263,0.4297863189495944,0,-2.6499024919375398e-06
58,0.3365436090721413,0.4112164646150713,0,-1.4081574702629432e-05
59,0.22855737448376945,0.5213032865749184,0,-1.7779492959160957e-06
60,0.10888970748596735,0.3381971646086215,0,-3.3570345211366094e-06
61,0.1611256711577731,0.1255703426547594,0,8.519384175569956e-05
62,0.11083020974540148,0.2509839363071221,0,-8.073255622724474e-06
63,0.19621610792247424,0.5329834575951257,0,-1.1457666411960177e-06
64,0.049795105290843245,0.4015826584053768,0,-9.881850065545202e-07
65,0.2220922967348135,0.3054462391908496,0,-1.3265980090259819e-05
66,0.09076241583701583,0.5952787762731476,0,-2.1446192435814977e-07
67,0.15452549356096276,0.4387801945042792,0,-1.93810774142474e-06
68,0.1549817020454863,0.2827136563959612,0,-9.071920068059206e-06
69,0.3082561008657503,0.2784884712321763,0,5.213574631672062e-05
70,0.20712341425343084,0.4164058408533211,0,-4.090306421007487e-06
71,0.18937434523534535,0.3756637173058881,0,-5.1398122601611755e-06
72,0.05778295790982711,0.15846215350588588,0,-1.1578925466054638e-05
73,0.224689860859548,0.5439994941154981,0,-1.3634899334144926e-06
74,0.3111814436500823,0.4209575525341383,0,-1.0650890675966559e-05
75,0.06767230079581368,0.23505850034104525,0,-6.204545255917981e-06
76,0.3076410077802661,0.3706733200287007,0,-1.5076909474444557e-05
77,0.15593119817266873,0.4379535994423595,0,-1.981778065977011e-06
78,0.13349789736891066,0.579988424668223,0,-3.8290080283371305e-07
79,0.3025676411643701,0.017869059788105223,19,0.024176105494254196
80,0.029352446279596243,0.35939600310935144,0,-1.2284660572081096e-06
81,0.06161495258310485,0.4742733955724644,0,-5.375652643850322e-07
82,0.09637260397578053,0.5438280532005186,0,-3.7942121517400884e-07
83,0.333259026368151,0.05215848443995632,13,0.014171023479688044
84,0.06251909023022122,0.06839693003356832,0,-5.197078749709039e-06
85,0.22131506786433078,0.09613163643199145,3,0.003253457913376856
86,0.32829917527827557,0.12284158014947545,7,0.007811492228160483
87,0.03874713533662934,0.5387728306738716,0,-2.244527756616314e-07
88,0.02946806957870571,0.2995139283054153,0,-2.237779367291956e-06
89,0.006143236038715727,0.4313377016842723,0,-4.745259827384733e-07
90,0.18057862750908554,0.380129384668287,0,-4.507898322049544e-06
91,0.11073254813045207,0.47286213829719176,0,-8.903828834856046e-07
92,0.09692189430935075,0.13199287429472062,0,-1.5315719352562196e-05
93,0.17625524415843627,0.0827733541534466,1,0.0011433069202110443
94,0.3125903113259851,0.4827381287095306,0,-6.0077327458865044e-06
95,0.2441102783039552,0.19410442610655007,0,0.0001658914003165257
96,0.28104299615624184,0.12219893738401812,5,0.006051566248316731
97,0.3428052981279597,0.5865888172946022,0,-2.8911044520440205e-06
98,0.02489394461607397,0.20198777957199474,0,-5.643006148610936e-06
99,0.05180819863805796,0.17177244347158208,0,-9.763306908551314e-06
100,0.22108883047601888,0.11938257395148293,1,0.0014423084536346815
101,0.11435250217923613,0.2186382077058901,0,-1.121917760047599e-05
102,0.13643940882739727,0.1416033062804464,0,-4.98882662966158e-06
103,0.13243188221074637,0.5769778279415764,0,-3.9042508514148817e-07
104,0.2757749333317071,0.26044450483943266,0,1.7949313326987992e-05
105,0.22103792511749548,0.17019200365625714,0,0.0001769369300539103
106,0.14347167799224517,0.5750087551843697,0,-4.4458948530948416e-07
107,0.24054327407703344,0.5336126390528535,0,-1.7717700685123975e-06
