problem,m,N,method,repetitions,mean_estimate,benchmark_probability,bias,abs_bias,sample_variance,sample_sd,rmse,variance_ratio_to_naive,classifier_accuracy_mean,classifier_error_mean
SIR,5,100,Naive,30,0.15148278186502956,0.16576539180279623,-0.014282609937766672,0.014282609937766672,0.006233756688530342,0.07895414294722185,0.08023558833313764,1.0,,
SIR,5,100,POF_MLP,30,0.0935900211294753,0.16576539180279623,-0.07217537067332093,0.07217537067332093,0.004165970373982274,0.06454432875150437,0.09682589790863573,0.6682921041251667,0.8903,0.10970000000000002
SIR,5,100,POF_PPSVMG,30,0.10433725153888013,0.16576539180279623,-0.0614281402639161,0.0614281402639161,0.00485159454067308,0.06965338857997563,0.09287093709528525,0.7782778159435803,0.8911133333333333,0.10888666666666669
SIR,5,100,Random_MLP,30,0.1617061384956782,0.16576539180279623,-0.004059253307118038,0.004059253307118038,0.0029248185112993167,0.05408159124230089,0.05423371689927462,0.46919035461887204,0.94738,0.05262
SIR,5,100,Random_PPSVMG,30,0.16706607576808408,0.16576539180279623,0.0013006839652878466,0.0013006839652878466,0.0031450582700635063,0.05608081909230202,0.05609590046376886,0.5045205366853962,0.9457333333333333,0.054266666666666685
SIR,5,120,Naive,30,0.17433257132527302,0.16576539180279623,0.008567179522476792,0.008567179522476792,0.006544090568423028,0.0808955534527271,0.0813479387163152,1.0,,
SIR,5,120,POF_MLP,30,0.11854112611969043,0.16576539180279623,-0.047224265683105796,0.047224265683105796,0.0046278034753311605,0.06802796098172545,0.08281264845806904,0.7071728954457842,0.92254,0.07745999999999997
SIR,5,120,POF_PPSVMG,30,0.1310214232024639,0.16576539180279623,-0.034743968600332326,0.034743968600332326,0.004117898612263961,0.064170854850656,0.07297288514485939,0.6292545265393963,0.94472,0.055279999999999996
SIR,5,120,Random_MLP,30,0.14185861119872395,0.16576539180279623,-0.02390678060407228,0.02390678060407228,0.0032124010000960847,0.05667804689733129,0.06151369895354474,0.49088577954540713,0.9501133333333333,0.049886666666666746
SIR,5,120,Random_PPSVMG,30,0.16155030536122394,0.16576539180279623,-0.0042150864415722855,0.0042150864415722855,0.0034085768658709283,0.058383018643017495,0.058534979453151385,0.5208633392572859,0.9503466666666667,0.04965333333333333
SIR,5,140,Naive,30,0.1691690992019179,0.16576539180279623,0.003403707399121658,0.003403707399121658,0.0041000658673692675,0.06403175671000498,0.06412215756997033,1.0,,
SIR,5,140,POF_MLP,30,0.1470566376354781,0.16576539180279623,-0.018708754167318126,0.018708754167318126,0.003908593985509671,0.06251874907185581,0.06525803757394805,0.9533002912505768,0.9551200000000001,0.04487999999999992
SIR,5,140,POF_PPSVMG,30,0.1591000283864563,0.16576539180279623,-0.006665363416339942,0.006665363416339942,0.004210870007752049,0.06489121672269714,0.06523263812865407,1.027024965931554,0.9634266666666667,0.03657333333333335
SIR,5,140,Random_MLP,30,0.16708633280475163,0.16576539180279623,0.0013209410019554002,0.0013209410019554002,0.0011921108432498071,0.03452695821021318,0.03455221741625932,0.29075407123025154,0.96108,0.038919999999999955
SIR,5,140,Random_PPSVMG,30,0.15082268860684991,0.16576539180279623,-0.014942703195946316,0.014942703195946316,0.001250625467039585,0.03536418339279991,0.03839153351771363,0.30502570141440827,0.9530933333333333,0.04690666666666665
SIR,5,160,Naive,30,0.17287637682363277,0.16576539180279623,0.007110985020836541,0.007110985020836541,0.003302196178170082,0.05746473856348849,0.05790304211469932,1.0,,
SIR,5,160,POF_MLP,30,0.12692135090679943,0.16576539180279623,-0.0388440408959968,0.0388440408959968,0.0033303825393924654,0.05770946663583424,0.069564660945931,1.0085356410405644,0.9360933333333333,0.06390666666666667
SIR,5,160,POF_PPSVMG,30,0.13907121017089827,0.16576539180279623,-0.026694181631897962,0.026694181631897962,0.0029002683053128723,0.053854139166018354,0.060106968300768844,0.8782846774779024,0.9521266666666667,0.04787333333333332
SIR,5,160,Random_MLP,30,0.15590446543264036,0.16576539180279623,-0.00986092637015587,0.00986092637015587,0.0036125992299408786,0.06010490187947135,0.06090843208307462,1.093998973720213,0.9536933333333334,0.04630666666666661
SIR,5,160,Random_PPSVMG,30,0.16176339979669355,0.16576539180279623,-0.004001992006102684,0.004001992006102684,0.002541031928896166,0.050408649346081136,0.05056726084051889,0.7694975682226983,0.9521,0.047900000000000054
SIR,5,180,Naive,30,0.16313209326863903,0.16576539180279623,-0.002633298534157197,0.002633298534157197,0.0016502873041592037,0.04062372833897947,0.04070898629699833,1.0,,
SIR,5,180,POF_MLP,30,0.12882624202386683,0.16576539180279623,-0.0369391497789294,0.0369391497789294,0.0039438636236321075,0.06280018808596123,0.07285852324898089,2.38980425632096,0.9340533333333333,0.06594666666666671
SIR,5,180,POF_PPSVMG,30,0.13692649459620035,0.16576539180279623,-0.02883889720659588,0.02883889720659588,0.0038724527731476754,0.06222903480809963,0.06858669524944527,2.3465324876389517,0.91506,0.08494000000000002
SIR,5,180,Random_MLP,30,0.16210893824412712,0.16576539180279623,-0.003656453558669115,0.003656453558669115,0.001390747413057605,0.037292726007327553,0.03747155008382105,0.8427304806578328,0.95614,0.04386000000000001
SIR,5,180,Random_PPSVMG,30,0.16475857852034625,0.16576539180279623,-0.0010068132824499754,0.0010068132824499754,0.0023743897245996678,0.04872771002827516,0.04873811032021436,1.4387735508935418,0.9539466666666667,0.04605333333333328
SIR,5,200,Naive,30,0.1492187705407186,0.16576539180279623,-0.01654662126207762,0.01654662126207762,0.003004264723215826,0.05481117334281238,0.05725430462774363,1.0,,
SIR,5,200,POF_MLP,30,0.13699762339558172,0.16576539180279623,-0.02876776840721451,0.02876776840721451,0.00260228379360988,0.05101258465917876,0.058565077415990915,0.8661965683318155,0.923,0.07699999999999996
SIR,5,200,POF_PPSVMG,30,0.15488480282642544,0.16576539180279623,-0.010880588976370786,0.010880588976370786,0.001745349062015751,0.04177737500149754,0.04317101201603308,0.580957146861377,0.9627333333333333,0.03726666666666667
SIR,5,200,Random_MLP,30,0.14991561070660805,0.16576539180279623,-0.015849781096188176,0.015849781096188176,0.004769198399430137,0.06905938313821039,0.07085487957951253,1.5874760844394198,0.9512133333333334,0.048786666666666645
SIR,5,200,Random_PPSVMG,30,0.15708819980520808,0.16576539180279623,-0.008677191997588152,0.008677191997588152,0.0017530617429844053,0.04186958016250468,0.042759272724725024,0.5835243909890512,0.9580533333333334,0.04194666666666658
SIR,5,250,Naive,30,0.16459417883455957,0.16576539180279623,-0.0011712129682366623,0.0011712129682366623,0.0020582193544525715,0.04536760247635499,0.045382718013243076,1.0,,
SIR,5,250,POF_MLP,30,0.13894123157567426,0.16576539180279623,-0.026824160227121974,0.026824160227121974,0.001892101363097281,0.04349829149630225,0.05110417727532254,0.9192904337451082,0.9558133333333333,0.04418666666666671
SIR,5,250,POF_PPSVMG,30,0.15348159956441035,0.16576539180279623,-0.012283792238385882,0.012283792238385882,0.0024542357739906376,0.04954024398396356,0.05104044793834069,1.1924072955010159,0.96416,0.03583999999999998
SIR,5,250,Random_MLP,30,0.12112546716929361,0.16576539180279623,-0.04463992463350262,0.04463992463350262,0.0049248455875118054,0.0701772440860412,0.08317192109598408,2.3927700304915636,0.9422333333333334,0.05776666666666663
SIR,5,250,Random_PPSVMG,30,0.15005736571224518,0.16576539180279623,-0.015708026090551053,0.015708026090551053,0.001230363197045251,0.03507653342400373,0.03843312738649671,0.597780403912533,0.9607333333333333,0.03926666666666667
SIR,5,300,Naive,30,0.17672250160513853,0.16576539180279623,0.010957109802342296,0.010957109802342296,0.0019256514277629499,0.043882245017352405,0.0452295222502243,1.0,,
