N,m,repetition,nn_probability_estimate,two_stage_probability_estimate,nn_classification_error
500,5,44,0.2315872264270262,0.25381556103577013,0.10506
500,5,45,0.23163872000220334,0.23958845032525047,0.11014
500,5,46,0.2310934622938103,0.2682302299065809,0.12112
500,5,47,0.2295367408255463,0.20804492866193078,0.10462
500,5,48,0.23105036245218968,0.23790254897671897,0.11856
500,5,49,0.2359227880183213,0.22678350007928666,0.11986
500,5,50,0.2332626570215445,0.23570252386694146,0.11764
500,5,51,0.23248810186078073,0.22014985445447055,0.11876
500,5,52,0.2299268095856071,0.22113104439205628,0.11518
500,5,53,0.23179827566125352,0.18901642029632806,0.11368
500,5,54,0.23184601118391873,0.27050245571632003,0.1193
500,5,55,0.23176368774178863,0.19842246081034018,0.11842
500,5,56,0.2312673598951897,0.21327121417221115,0.09838
500,5,57,0.23260035957068842,0.2416914614827258,0.12262
500,5,58,0.22946634755877218,0.2278935868376022,0.10906
500,5,59,0.2338254740840661,0.2367712475408943,0.12036
500,5,60,0.23392343450479158,0.22293949590697054,0.11188
500,5,61,0.22889812042646765,0.23474210477191293,0.11136
500,5,62,0.2334785268900937,0.2071294406015894,0.11672
500,5,63,0.23107356760214692,0.22795140152769566,0.11062
500,5,64,0.22998183276235737,0.2016110745325498,0.12146
500,5,65,0.23234427813294015,0.25477576048349165,0.11628
500,5,66,0.2353267074182775,0.2174167778079721,0.12208
500,5,67,0.23401123374662577,0.23776033405858796,0.1225
500,5,68,0.23065411515281758,0.23984860990065404,0.12006
500,5,69,0.22901953919064555,0.2346487425323963,0.1138
500,5,70,0.23235250119755224,0.20754478451186037,0.10862
500,5,71,0.2334780130158179,0.2391867192002177,0.111
500,5,72,0.22673764259321272,0.21548601957145633,0.11292
500,5,73,0.22932731517758562,0.21834991906024767,0.11616
500,5,74,0.23222749666836343,0.2350739805963557,0.122
500,5,75,0.22817766395603653,0.22293594060024907,0.115
500,5,76,0.23327838883313734,0.2308196467651721,0.11372
500,5,77,0.23106467330776548,0.20819740951709323,0.10796
500,5,78,0.23527043200212594,0.22494636088890538,0.11698
500,5,79,0.23049325827836475,0.22443966431392606,0.11236
500,5,80,0.23675725055889443,0.22575961573099435,0.11018
500,5,81,0.23220459429307824,0.21422698561334322,0.11326
500,5,82,0.23146825264352558,0.20500966698528592,0.1044
500,5,83,0.23342034491216412,0.2349058255937043,0.11842
500,5,84,0.231578133578915,0.21951958395520862,0.10654
500,5,85,0.2279972325125095,0.23480403639898922,0.1186
500,5,86,0.22857198092354042,0.2227775367971083,0.10924
500,5,87,0.23268238537372715,0.2409337962739151,0.1127
500,5,88,0.2288962167052348,0.25481286671881404,0.12364
500,5,89,0.23081472382340035,0.25033720202757725,0.11824
500,5,90,0.22771772551612143,0.20093502864011306,0.11444
500,5,91,0.23013011433111583,0.22717929881229446,0.1215
500,5,92,0.226509474556305,0.21033291400761558,0.12038
500,5,93,0.2256451386875357,0.22759395220077303,0.11212
500,5,94,0.22785645163330082,0.20723480841601088,0.12554
500,5,95,0.23980137350599606,0.2037981434211946,0.10828
500,5,96,0.2306051099557008,0.2172168569176157,0.1205
500,5,97,0.22945497648009813,0.24076973390861328,0.1111
500,5,98,0.23164102309452872,0.23477706770642248,0.11486
500,5,99,0.23331094968424573,0.23595628308411967,0.11838
1000,5,0,0.23362076937805795,0.23956949829839752,0.07762
1000,5,1,0.23145970598007606,0.22508999500282145,0.08342
1000,5,2,0.23037379462032312,0.20657232703644035,0.07844
1000,5,3,0.22999596739921171,0.2511447735899963,0.08422
1000,5,4,0.22711815065471969,0.24381012561875784,0.08196
1000,5,5,0.23019434267266878,0.21698125948611907,0.08254
1000,5,6,0.2291456869523508,0.254639171586164,0.08396
1000,5,7,0.2318137101267206,0.23252503468371477,0.08328
1000,5,8,0.23076925620956434,0.2500269000691762,0.08456
1000,5,9,0.23066982299871475,0.24470496311781195,0.08506
1000,5,10,0.2331676862830001,0.22208901793140293,0.08676
1000,5,11,0.23094056734818275,0.2387915325646898,0.07854
1000,5,12,0.231035249809692,0.23728808165387064,0.08768
1000,5,13,0.23001531312854634,0.2611609521957201,0.08146
1000,5,14,0.23174498758536274,0.21740390274070825,0.0829
1000,5,15,0.22951902279202524,0.2387153247839395,0.0745
1000,5,16,0.23035701752338023,0.2140947908041491,0.08196
1000,5,17,0.23152491791823326,0.24888398426436206,0.07784
1000,5,18,0.22912338199477414,0.2403087900655364,0.08308
1000,5,19,0.22871745286937867,0.2044732461452136,0.08258
1000,5,20,0.23180100255890007,0.21680729227859036,0.07258
1000,5,21,0.23095362368963898,0.2671642658044939,0.07802
1000,5,22,0.23129456527167036,0.23600993264639447,0.08022
1000,5,23,0.23051693697542414,0.2117867429666897,0.08062
1000,5,24,0.22972666089182872,0.24295174294258312,0.08244
1000,5,25,0.23156738471896834,0.23373281467630788,0.07766
1000,5,26,0.23121716219916885,0.2262937377783882,0.08328
1000,5,27,0.22794374269081774,0.22959562528927455,0.08486
1000,5,28,0.22919182849760236,0.24088739769574552,0.08282
1000,5,29,0.22801640109164145,0.22334240918289594,0.07978
1000,5,30,0.23146153750176063,0.22418189427787477,0.0823
1000,5,31,0.2291400977089837,0.23484383181838975,0.07568
