,f
0,0.3814707502283566
1,0.008770703425776951
2,3.6122977324672633e-08
3,0.17243353855870827
4,0.005802468017105111
5,0.21720566501259292
6,0.8925483307315188
7,1.4734911139421318
8,0.49012272006934604
9,0.4180501946570011
10,3.4677645235661993e-09
11,0.3884308225948962
12,0.04287284770482708
13,0.4308668337792416
14,0.1812516497779538
15,0.8464424285297721
16,7.651675055260306e-11
17,0.07121427149621326
18,0.3865588316856396
19,0.07520368861638384
20,0.47239811129267
21,0.514842771760693
22,0.7936014406329895
23,0.013593475861008902
24,0.1628818803880375
25,1.3834133137653195
26,0.20894707204368929
27,0.0006312219809508635
28,1.2848651672405524
29,0.00012138927510127673
30,0.0642938203494791
31,0.12268868370177471
32,0.09584696518815124
33,0.01822132180531896
34,0.5900850508619164
35,1.459868403949951
36,0.1340198041687923
37,0.06726821221552781
38,0.002398679396783244
39,0.13943543840359132
40,0.012557666476861089
41,1.6022637906251005
42,0.27125974435631073
43,0.00033803040069421816
44,0.0018055403263274783
45,0.08995733244896319
46,2.3702777857929592e-05
47,0.22529917692193124
48,0.0003649198111831148
49,5.650714903006875e-05
50,0.30121628304253056
51,0.20186376055808675
52,1.322179792659941
53,0.8883616793171814
54,0.9459208148893228
55,0.00036851936843947396
56,0.0016993878705236923
57,0.03591537136922746
58,1.162460265757037
59,0.004176643003637336
60,0.0664450635400389
61,0.6411291879716243
62,1.605021391510071
63,0.008928968302140515
64,0.9328905074959878
65,0.20327161784464828
66,1.357658910561631
67,0.5560728851905358
68,0.5758739696060089
69,0.3136112877205247
70,1.009038912867713
71,7.3868216727715555e-06
72,0.3311506098769787
73,0.10442341256855496
74,5.171186558830146e-08
75,3.453939303603851e-05
76,0.0005216353748719734
77,0.006816206974385945
78,0.042270710190572595
79,1.124866446636433
80,0.5514537840994003
81,0.0005216583226344577
82,0.001145236389421872
83,1.5715900611513296
84,1.5661261882775703
85,0.09960531219056909
86,1.0988755514267987
87,0.11466197431664435
88,0.4751691921787963
89,0.6125722771653359
90,3.901353235682112e-05
91,0.8858344691463867
92,0.00041676382670707254
93,1.4592227417092518
94,1.4808331594394868
95,0.0002793926345267383
96,0.8147473647995536
97,1.2440805095790557
98,0.6153697364844714
99,0.7567999876026088
100,1.4660410167449472e-06
101,0.029446530958048903
102,1.3937480441320558
103,0.0019501667438262297
104,1.9803989510518616
105,0.11425675309459567
106,0.03063613242268575
107,0.9733897236437818
108,0.1559708602535053
109,0.0010301656023552711
110,0.0005240848845323261
111,0.004942390042768257
112,9.369259608075605e-05
113,0.43897701491598046
114,0.0007062117075496075
115,1.8428522740127017e-07
116,0.16382667650124239
117,1.2961580506460328
118,0.0008807132630706699
119,0.059622825938268786
120,0.6865961808842639
121,0.9918400009783469
122,0.0029295626289637315
123,0.7459385672820525
124,0.004298671857677808
125,0.002195908748551344
126,1.2162726980622323
127,0.0031655618341060693
128,0.9180550303230666
129,0.9523240303377895
130,0.6502455471915416
131,1.0778870713280664
132,0.9528105621996338
133,0.07443927040499124
134,1.1948820286027455
135,0.041596094205675754
136,1.6190100406087247
137,0.10977517860044655
138,1.4649576352768143
139,1.479850475564392
140,0.7370797639259627
141,3.281137095155456e-08
142,0.3407730088582369
143,0.89534598354919
144,0.5531410959688905
145,0.15818847991806897
146,0.907559128169517
147,0.5082689176205439
148,0.34936141187270886
149,0.5076924280767765
150,0.014916309495013895
151,1.9472706718887363
152,0.8085197844936776
153,0.04461674710595724
154,0.002198987416458243
155,0.7538226489593467
156,1.3138943244237202
157,2.6396646509146443e-05
158,1.9556760842050374
159,0.8642868686077232
160,1.6043844359616128
161,0.34905932203194434
162,1.797369142846101
163,0.2417109307067589
164,0.5107371266249809
165,0.2551803209492661
166,1.0918152624456168
167,0.9168786567087268
168,1.447777274334371
169,0.0008484616918153578
170,1.1466548767008835
171,6.9781674884620185e-06
172,1.2059181946958806
173,0.10693078908889302
174,0.8642197469966203
175,0.11587131283682786
176,0.06700911384963298
177,1.2567589960246368
178,1.0344732798303724
179,0.002323357331981315
180,1.2216060156862738
181,0.0725601342206719
182,0.5499596962732574
183,0.6995329379604813
184,0.003255652747363162
185,8.587957723502392e-05
186,0.8497330767633013
187,0.002689792403484623
188,1.4591095925584439
189,0.07567781532039204
190,1.3079704980873776
191,0.03959432388758584
192,0.1522993677052656
193,0.3143382377156527
194,0.18872407119529802
195,1.6867545519095586
196,0.023851764934317864
197,0.024013891814554926
198,0.00044760177024172213
199,0.7692912234620822
200,0.09169480901005439
201,0.5790739714209245
202,0.0019035082948422226
203,1.4226202245386339e-15
204,0.26681731888128213
205,0.026695999108459247
206,1.4884174549284954
207,0.10427356671310076
208,0.017533802998473992
209,1.64670630100766
210,0.0031296711034461046
211,0.8244963870704742
212,1.088993333166464
213,1.11002597045296
214,0.003644308279609197
215,0.755862064842455
216,0.3837935947075389
217,8.105924951241558e-06
218,0.9037667755464823
219,0.020935489391260706
220,0.003358730971565448
221,0.4645313414162443
222,0.31832931504279927
223,0.036402760618264536
224,0.4257689135039802
225,1.009004914779298
226,1.7399985126107347
227,0.2796947395027285
228,0.007887007568092536
229,0.0018366330537220611
230,1.0919283481566193
231,0.026358707445334296
232,0.38387155890533436
233,0.00021776381775402844
234,7.93413296582269e-07
235,0.45545346488770905
236,0.12986394710686944
237,0.9970136554123276
238,0.1647063716043945
239,0.019912545788189993
240,1.3980707709037044
241,0.40056173842579595
242,1.308203297366482
243,0.0002761865887005296
244,0.00012948613004293053
245,0.23582365764363036
246,1.058424289598625
247,1.4400519400560923
248,1.1997176736963437
249,1.2194915640995385
250,0.7727950408643891
251,0.2416045013267132
252,1.965097586522524
253,5.103032594900096e-06
254,0.011830476247569494
255,1.5418242603092247
256,0.24106486912820424
257,0.4591264432132974
258,0.07581965567989701
259,4.5225645814660307e-13
260,0.6382383266181597
261,1.7363681186356257
262,1.1490099164005971
263,1.3100655577088027
264,0.9313638924216849
265,0.6730550979406911
266,0.37109652153773137
267,0.020468616188907142
268,1.2449771281371678
269,1.0558011677638306
270,2.0281389494050485e-05
271,1.4646702711387745
272,0.007895749036557948
273,3.7219270181777772e-06
274,0.3470995687176378
275,0.0006353767184282163
276,1.6049565170289872
277,0.16601438807284818
278,0.18712812389140923
279,1.200805383452124
280,1.1998758087158771e-09
281,0.42620097123921274
282,0.17474308544228645
283,5.48455916099441e-08
284,0.8952049590018474
285,1.3222509622195062
286,0.0009165970373264292
287,0.9597546037824727
288,0.007528272781907783
289,0.4002211514198494
290,0.43612918729228317
291,0.991852453412315
292,0.5355741233667565
293,0.02683354204717632
294,5.564210413861154e-07
295,0.6976874058242896
296,0.127349144293348
297,0.016128986237225255
298,0.12584685393135955
299,0.610530129084064
300,0.4238014540876659
301,0.7211268454113944
302,1.084881907217291
303,0.2210526521411097
304,0.000920599498251245
305,0.188121776642922
306,0.008916684712506298
307,1.2595349155602513
308,1.1679405946737997
309,1.228022848340049
310,1.1410692562729416
311,1.1163294845430782
312,0.001502505999636038
313,1.145860647172474
314,0.0008069903233064023
315,0.000360052970299586
316,0.6061839428023749
317,0.014209995783363764
318,1.0270219523387112
319,0.8122229259371123
320,0.9911151202879731
321,0.6527572568636069
322,0.06907721631330951
323,0.0010602143855345688
324,1.890781291080729
325,0.3298311853831297
326,0.0004955378767913184
327,3.811628972661837e-05
328,1.4439918504674632e-05
329,0.8755616218161368
330,1.3602208294878166
331,1.505938266043345e-08
332,1.338606584562766
333,1.639517446818223
334,0.22855405261649664
335,0.9673323729864322
336,0.002801286748579136
337,0.026122094016545694
338,2.2662253374384735e-11
339,0.00012174809461118511
340,0.4226187182600597
341,1.3211555373981911
342,0.0005315230088047787
343,0.028672472147862938
344,0.002546886275211195
345,0.0560150589863885
346,1.3483951438606445
347,0.0037402969709827783
348,0.14324076773428152
349,4.035242873510828e-08
350,0.0019214364293615273
351,0.5892134283041349
352,0.0002049070878749419
353,1.9844129685934702e-07
354,0.16703249091963163
355,0.053000949354231774
356,0.7947812653396709
357,0.33016834449644344
358,0.4296500718798922
359,0.07202973678620299
360,0.035874135738012375
361,0.629950158501999
362,0.021333467591713815
363,1.2290417892514438
364,0.866173204704626
365,0.4438835444904202
366,1.3071926334101678
367,0.7911768191302521
368,0.1122043217834781
369,0.9907050116940314
370,0.012840949526008068
371,0.9670449501415946
372,0.023727488408162457
373,0.1955504360810379
374,0.2552470794498269
375,1.001021629850165
376,0.0036593110768118253
377,0.8032292307663135
378,0.9296153214223541
379,0.08335206522497964
380,0.014552318600374224
381,6.827137796517778e-06
382,4.741538095626022e-08
383,1.4710924716802738
384,0.012990196460093506
385,0.33119241367906593
386,0.0001576686914064062
387,0.1025624680319205
388,1.672044318308592
389,1.3292702936991807
390,4.812837121443115e-05
391,0.8059378460519903
392,0.4161508831074033
393,0.08829537745426333
394,0.32023912289292505
395,0.6273784084015108
396,0.853154192105025
397,0.001921580032140924
398,1.5472682727803204
399,0.0035365258656254134
400,1.1010136423778862
401,0.0001799713644787692
402,0.01960983658870618
403,0.005908427767366027
404,0.08430603828413265
405,0.0016032542569474186
406,0.014182223703108825
407,0.5098060650141474
408,0.8625992719258607
409,0.2577052405127652
410,0.1992840228657638
411,0.7039598234486654
412,0.002151118184233858
413,0.9937545340010917
414,0.3701116927395604
415,0.36499504191407345
416,0.8595581672040495
417,0.0370888460306406
418,0.06342935532886242
419,0.01627732047771012
420,5.328159674760312e-05
421,0.16189829928034852
422,0.0007813244003370896
423,1.2987319621496287
424,0.024288633106795784
425,0.8481077285252682
426,0.43412310532361453
427,0.007147887855625579
428,1.4713320965285663
429,9.972274467819461e-06
430,0.05089152655792758
431,4.745925688362319e-09
432,0.5792080380406935
433,7.908131260776741e-05
434,1.062524442864781
435,6.841192172828957e-17
436,6.805176681947428e-08
437,0.3626990503860855
438,1.7176671138116215
439,0.3972054035625395
440,0.5844435076595119
441,0.11342881955709672
442,0.00027990337123495556
443,0.011750938558951823
444,0.002796942211759857
445,1.5752330557780354
446,1.2011152238774445
447,0.00166888258973383
448,0.0003284236360201138
449,0.0007611239830410244
450,0.055594302132875334
451,0.05379941906893073
452,1.3743429533870746
453,1.2258733417541436
