# 1000,5000,10000,20000
4.382938370627351837e-02,4.368043822742479626e-02,4.207149195741777259e-02,4.177297207607105073e-02
4.289898726676223684e-02,4.334697978593961970e-02,4.251687942773686030e-02,4.316704393835188447e-02
4.990731710099299140e-02,4.247097656486728545e-02,4.292350542953354831e-02,4.060536003257205623e-02
3.923426523475610772e-02,4.464676449290012894e-02,4.212590975985538305e-02,4.216724265707894048e-02
3.185245400860631237e-02,4.325438971431230101e-02,4.084197981948491096e-02,4.187497536500926071e-02
4.359502064196216220e-02,4.502235500481763242e-02,3.843376590733577763e-02,4.106101366490674809e-02
5.080678337995309796e-02,4.201845181886490477e-02,4.169437177559204982e-02,4.414167779981575251e-02
4.046207153123658473e-02,3.939202056162787596e-02,4.388442563020272108e-02,4.059439130945830670e-02
4.230316845366433043e-02,3.990255430779705847e-02,4.159856546064288896e-02,4.134416932995444577e-02
3.966436117708892206e-02,4.046890677569740802e-02,4.275173740075969425e-02,4.051995709771476217e-02
4.198901115633386222e-02,4.621958213674713656e-02,4.060676466593340223e-02,4.234713148500466456e-02
4.722377801892627125e-02,4.287797591063012559e-02,4.267762816391423158e-02,4.166149711908844616e-02
4.253335048789594341e-02,4.213498249710762034e-02,4.363497587778233933e-02,4.106978666968055802e-02
4.466157204421754290e-02,4.034887148247123800e-02,4.394372908056247418e-02,4.253776773638222319e-02
4.442627750913248630e-02,3.853709944036933649e-02,4.232828313115390151e-02,4.046858062795376937e-02
5.224865794125756191e-02,3.934785930393690928e-02,4.102563781149139166e-02,4.155483784285072396e-02
3.932364944676845775e-02,3.919892013879830439e-02,4.100361796094750821e-02,4.183778050269712501e-02
3.964430225678480108e-02,4.103513302895196030e-02,4.334231064046656368e-02,4.147269126846912096e-02
3.603008253155477042e-02,4.447753915643406358e-02,3.975758304269416676e-02,4.191727185379608839e-02
3.955312566034051291e-02,3.837452963454051486e-02,4.232151770062478335e-02,4.197591828724517304e-02
